Country,Capital,Continent,Population,Area
China,Beijing,Asia,1425887337,9706961
India,New Delhi,Asia,1417173173,3287590
United States,"Washington, D.C.",North America,338289857,9372610
Indonesia,Jakarta,Asia,275501339,1904569
Pakistan,Islamabad,Asia,235824862,881912
Nigeria,Abuja,Africa,218541212,923768
Brazil,Brasilia,South America,215313498,8515767
Bangladesh,Dhaka,Asia,171186372,147570
Russia,Moscow,Europe,144713314,17098242
Mexico,Mexico City,North America,127504125,1964375
Japan,Tokyo,Asia,123951692,377930
Ethiopia,Addis Ababa,Africa,123379924,1104300
Philippines,Manila,Asia,115559009,342353
Egypt,Cairo,Africa,110990103,1002450
DR Congo,Kinshasa,Africa,99010212,2344858
Vietnam,Hanoi,Asia,98186856,331212
Iran,Tehran,Asia,88550570,1648195
Turkey,Ankara,Asia,85341241,783562
Germany,Berlin,Europe,83369843,357114
Thailand,Bangkok,Asia,71697030,513120
United Kingdom,London,Europe,67508936,242900
Tanzania,Dodoma,Africa,65497748,945087
France,Paris,Europe,64626628,551695
South Africa,Pretoria,Africa,59893885,1221037
Italy,Rome,Europe,59037474,301336
Myanmar,Nay Pyi Taw,Asia,54179306,676578
Kenya,Nairobi,Africa,54027487,580367
Colombia,Bogota,South America,51874024,1141748
South Korea,Seoul,Asia,51815810,100210
Spain,Madrid,Europe,47558630,505992
Uganda,Kampala,Africa,47249585,241550
Sudan,Khartoum,Africa,46874204,1886068
Argentina,Buenos Aires,South America,45510318,2780400
Algeria,Algiers,Africa,44903225,2381741
Iraq,Baghdad,Asia,44496122,438317
Afghanistan,Kabul,Asia,41128771,652230
Poland,Warsaw,Europe,39857145,312679
Ukraine,Kiev,Europe,39701739,603500
Canada,Ottawa,North America,38454327,9984670
Morocco,Rabat,Africa,37457971,446550
Saudi Arabia,Riyadh,Asia,36408820,2149690
Angola,Luanda,Africa,35588987,1246700
Uzbekistan,Tashkent,Asia,34627652,447400
Peru,Lima,South America,34049588,1285216
Malaysia,Kuala Lumpur,Asia,33938221,330803
Yemen,Sanaa,Asia,33696614,527968
Ghana,Accra,Africa,33475870,238533
Mozambique,Maputo,Africa,32969517,801590
Nepal,Kathmandu,Asia,30547580,147181
Madagascar,Antananarivo,Africa,29611714,587041
Venezuela,Caracas,South America,28301696,916445
Ivory Coast,Yamoussoukro,Africa,28160542,322463
Cameroon,Yaounde,Africa,27914536,475442
Niger,Niamey,Africa,26207977,1267000
Australia,Canberra,Oceania,26177413,7692024
North Korea,Pyongyang,Asia,26069416,120538
Taiwan,Taipei,Asia,23893394,36193
Burkina Faso,Ouagadougou,Africa,22673762,272967
Mali,Bamako,Africa,22593590,1240192
Syria,Damascus,Asia,22125249,185180
Sri Lanka,Colombo,Asia,21832143,65610
Malawi,Lilongwe,Africa,20405317,118484
Zambia,Lusaka,Africa,20017675,752612
Romania,Bucharest,Europe,19659267,238391
Chile,Santiago,South America,19603733,756102
Kazakhstan,Nursultan,Asia,19397998,2724900
Ecuador,Quito,South America,18001000,276841
Guatemala,Guatemala City,North America,17843908,108889
Chad,N'Djamena,Africa,17723315,1284000
Somalia,Mogadishu,Africa,17597511,637657
Netherlands,Amsterdam,Europe,17564014,41850
Senegal,Dakar,Africa,17316449,196722
Cambodia,Phnom Penh,Asia,16767842,181035
Zimbabwe,Harare,Africa,16320537,390757
Guinea,Conakry,Africa,13859341,245857
Rwanda,Kigali,Africa,13776698,26338
Benin,Porto-Novo,Africa,13352864,112622
Burundi,Bujumbura,Africa,12889576,27834
Tunisia,Tunis,Africa,12356117,163610
Bolivia,Sucre,South America,12224110,1098581
Belgium,Brussels,Europe,11655930,30528
